Algorithm,Cross validation,Test / training,Training,Percentage split,Tree size,Parameters,Vidurkis
J48_C=0.7_M=2,97.2332,100.0,98.0237,97.6744,33.0,-C 0.7 -M 2,98.232825
J48_C=0.6_M=2,97.2332,100.0,98.0237,97.6744,33.0,-C 0.6 -M 2,98.232825
J48_C=0.4_M=2,96.4427,100.0,97.6285,97.6744,23.0,-C 0.4 -M 2,97.9364
J48_C=0.25_M=2 (Original Default),96.0474,100.0,97.6285,97.6744,23.0,-C 0.25 -M 2,97.837575
J48_C=0.1_M=2,95.6522,100.0,95.6522,96.5116,13.0,-C 0.1 -M 2,96.954
RandomTree_K=5_M=1.0,95.2569,100.0,98.8142,95.3488,71.0,-K 5 -M 1.0 -V 0.001 -S 1,97.354975
J48_C=0.25_M=10,94.8617,100.0,95.6522,96.5116,13.0,-C 0.25 -M 10,96.75637499999999
J48_C=0.4_M=5,94.8617,100.0,95.6522,96.5116,13.0,-C 0.4 -M 5,96.75637499999999
J48_C=0.25_M=5,94.8617,100.0,95.6522,96.5116,13.0,-C 0.25 -M 5,96.75637499999999
J48_C=0.4_M=10,94.8617,100.0,95.6522,96.5116,13.0,-C 0.4 -M 10,96.75637499999999
J48_C=0.1_M=10,94.8617,100.0,95.6522,96.5116,13.0,-C 0.1 -M 10,96.75637499999999
J48_C=0.1_M=5,94.8617,100.0,95.6522,96.5116,13.0,-C 0.1 -M 5,96.75637499999999
RandomTree_K=5_M=10,94.8617,100.0,97.2332,95.3488,65.0,-K 5 -M 10 -V 0.001 -S 1,96.860925
RandomTree_K=10_M=1.0,94.8617,100.0,98.8142,95.3488,71.0,-K 10 -M 1.0 -V 0.001 -S 1,97.256175
J48_C=0.7_M=10,94.4664,100.0,96.0474,96.5116,23.0,-C 0.7 -M 10,96.75635
J48_C=0.6_M=5,94.4664,100.0,96.0474,96.5116,23.0,-C 0.6 -M 5,96.75635
J48_C=0.6_M=10,94.4664,100.0,96.0474,96.5116,23.0,-C 0.6 -M 10,96.75635
RandomTree_K=0_M=5,94.4664,100.0,98.419,95.3488,63.0,-K 0 -M 5 -V 0.001 -S 1,97.05855
REPTree_L=5_M=2,94.0711,100.0,94.4664,95.3488,13.0,-M 2 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,95.971575
REPTree_L=-2_M=2,94.0711,100.0,94.4664,95.3488,13.0,-M 2 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,95.971575
REPTree_L=3_M=2,94.0711,100.0,94.4664,95.3488,13.0,-M 2 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,95.971575
REPTree_L=-1_M=2 (Original Default),94.0711,100.0,94.4664,95.3488,13.0,-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,95.971575
RandomTree_K=0_M=10,94.0711,100.0,96.4427,94.186,53.0,-K 0 -M 10 -V 0.001 -S 1,96.17495
RandomTree_K=10_M=10,94.0711,100.0,97.2332,95.3488,65.0,-K 10 -M 10 -V 0.001 -S 1,96.663275
REPTree_L=-1_M=20,91.6996,100.0,92.0949,95.3488,11.0,-M 20 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,94.785825
REPTree_L=5_M=10,91.6996,100.0,92.0949,95.3488,11.0,-M 10 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,94.785825
REPTree_L=-2_M=10,91.6996,100.0,92.0949,95.3488,11.0,-M 10 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,94.785825
REPTree_L=3_M=20,91.6996,100.0,92.0949,95.3488,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,94.785825
REPTree_L=3_M=10,91.6996,100.0,92.0949,95.3488,11.0,-M 10 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,94.785825
REPTree_L=5_M=20,91.6996,100.0,92.0949,95.3488,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,94.785825
REPTree_L=-1_M=10,91.6996,100.0,92.0949,95.3488,11.0,-M 10 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,94.785825
REPTree_L=5_M=5,91.6996,100.0,94.4664,94.186,13.0,-M 5 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,95.088
REPTree_L=-2_M=5,91.6996,100.0,94.4664,94.186,13.0,-M 5 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,95.088
REPTree_L=3_M=5,91.6996,100.0,94.4664,94.186,13.0,-M 5 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,95.088
REPTree_L=-1_M=5,91.6996,100.0,94.4664,94.186,13.0,-M 5 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,95.088
J48_C=0.1_M=20,90.9091,100.0,92.0949,95.3488,11.0,-C 0.1 -M 20,94.5882
J48_C=0.25_M=20,90.9091,100.0,92.0949,95.3488,11.0,-C 0.25 -M 20,94.5882
J48_C=0.4_M=20,90.9091,100.0,92.0949,95.3488,11.0,-C 0.4 -M 20,94.5882
J48_C=0.7_M=20,90.9091,100.0,92.4901,95.3488,21.0,-C 0.7 -M 20,94.687
