Algorithm,Cross validation,Test / training,Training,Percentage split,Tree size,Parameters,Vidurkis
RandomTree_K=10_M=1.0,95.0,97.5,96.0,92.6471,355.0,-K 10 -M 1.0 -V 0.001 -S 1,95.286775
RandomTree_K=10_M=5,94.5,96.6667,95.75,92.6471,179.0,-K 10 -M 5 -V 0.001 -S 1,94.89095
RandomTree_K=10_M=10,94.25,95.0,95.75,92.6471,105.0,-K 10 -M 10 -V 0.001 -S 1,94.411775
RandomTree_K=5_M=1.0,94.25,97.5,96.0,92.6471,355.0,-K 5 -M 1.0 -V 0.001 -S 1,95.099275
RandomTree_K=5_M=5,93.75,96.6667,95.75,92.6471,179.0,-K 5 -M 5 -V 0.001 -S 1,94.70345
RandomTree_K=5_M=10,93.5,95.0,95.75,92.6471,133.0,-K 5 -M 10 -V 0.001 -S 1,94.224275
REPTree_L=-1_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,92.349275
REPTree_L=5_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,92.349275
REPTree_L=-2_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,92.349275
REPTree_L=3_M=5,93.25,90.0,93.5,92.6471,23.0,-M 5 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,92.349275
REPTree_L=-2_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,93.724275
REPTree_L=-1_M=2 (Original Default),93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,93.724275
REPTree_L=3_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,93.724275
REPTree_L=5_M=2,93.25,95.0,94.0,92.6471,37.0,-M 2 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,93.724275
RandomTree_K=0_M=1.0 (Original Default),92.75,89.1667,96.0,92.6471,303.0,-K 0 -M 1.0 -V 0.001 -S 1,92.64095
RandomTree_K=0_M=5,92.25,88.3333,95.75,93.3824,221.0,-K 0 -M 5 -V 0.001 -S 1,92.42892499999999
RandomTree_K=0_M=10,91.75,88.3333,95.75,92.6471,109.0,-K 0 -M 10 -V 0.001 -S 1,92.1201
REPTree_L=-1_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,91.48162500000001
REPTree_L=-2_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,91.48162500000001
REPTree_L=5_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,91.48162500000001
REPTree_L=3_M=10,91.25,90.0,93.5,91.1765,23.0,-M 10 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,91.48162500000001
REPTree_L=-2_M=20,91.0,62.5,91.0,91.1765,11.0,-M 20 -V 0.001 -N 3 -S 1 -L -2 -I 0.0,83.91912500000001
REPTree_L=5_M=20,91.0,62.5,91.0,91.1765,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 5 -I 0.0,83.91912500000001
REPTree_L=3_M=20,91.0,62.5,91.0,91.1765,11.0,-M 20 -V 0.001 -N 3 -S 1 -L 3 -I 0.0,83.91912500000001
REPTree_L=-1_M=20,91.0,62.5,91.0,91.1765,11.0,-M 20 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,83.91912500000001
J48_C=0.25_M=20,86.0,90.0,85.25,91.1765,13.0,-C 0.25 -M 20,88.10662500000001
J48_C=0.1_M=20,86.0,90.0,85.25,91.1765,13.0,-C 0.1 -M 20,88.10662500000001
J48_C=0.4_M=20,86.0,90.0,85.25,91.1765,13.0,-C 0.4 -M 20,88.10662500000001
J48_C=0.7_M=20,85.75,90.0,85.75,91.1765,23.0,-C 0.7 -M 20,88.16912500000001
J48_C=0.6_M=20,85.75,90.0,85.75,91.1765,23.0,-C 0.6 -M 20,88.16912500000001
J48_C=0.25_M=5,85.25,86.6667,85.25,84.5588,13.0,-C 0.25 -M 5,85.431375
J48_C=0.4_M=2,85.25,86.6667,85.25,84.5588,13.0,-C 0.4 -M 2,85.431375
J48_C=0.1_M=10,85.25,86.6667,85.25,84.5588,13.0,-C 0.1 -M 10,85.431375
J48_C=0.4_M=5,85.25,86.6667,85.25,84.5588,13.0,-C 0.4 -M 5,85.431375
J48_C=0.1_M=2,85.25,86.6667,85.25,84.5588,13.0,-C 0.1 -M 2,85.431375
J48_C=0.4_M=10,85.25,86.6667,85.25,84.5588,13.0,-C 0.4 -M 10,85.431375
J48_C=0.1_M=5,85.25,86.6667,85.25,84.5588,13.0,-C 0.1 -M 5,85.431375
J48_C=0.25_M=10,85.25,86.6667,85.25,84.5588,13.0,-C 0.25 -M 10,85.431375
J48_C=0.25_M=2 (Original Default),85.25,86.6667,85.25,84.5588,13.0,-C 0.25 -M 2,85.431375
J48_C=0.6_M=2,85.25,88.3333,87.0,84.5588,53.0,-C 0.6 -M 2,86.285525
J48_C=0.7_M=2,85.25,88.3333,87.0,84.5588,53.0,-C 0.7 -M 2,86.285525
J48_C=0.6_M=10,84.5,86.6667,85.75,84.5588,43.0,-C 0.6 -M 10,85.368875
J48_C=0.6_M=5,84.5,88.3333,85.75,84.5588,43.0,-C 0.6 -M 5,85.785525
J48_C=0.7_M=5,84.5,88.3333,85.75,84.5588,43.0,-C 0.7 -M 5,85.785525
J48_C=0.7_M=10,84.5,86.6667,85.75,84.5588,43.0,-C 0.7 -M 10,85.368875
